name,val,sci,common,kingdom,phylum,class,order,family,genus
domestic pig,0.253641718868084,Sus scrofa domesticus,domestic pig,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
wild boar,0.253641718868084,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
wild boar,0.253641718868084,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
wild boar,0.253641718868084,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
Harbor Seal,0.256727622717167,Phoca vitulina,Harbor Seal,Metazoa,Chordata,Mammalia,Carnivora,Phocidae,Phoca
Alpaca,0.257161045020701,Vicugna pacos,Alpaca,Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna
Masked Palm Civet,0.259220817550851,Paguma larvata,Masked Palm Civet,Metazoa,Chordata,Mammalia,Carnivora,Viverridae,Paguma
European Rabbit,0.261218100142429,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus
Philippine Tarsier,0.261481541392902,Carlito syrichta,Philippine Tarsier,Metazoa,Chordata,Mammalia,Primates,Tarsiidae,Carlito
Wolverine,0.26198947912984,Gulo gulo,Wolverine,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo
Northern elephant seal,0.26304114629074,Mirounga angustirostris,Northern elephant seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga
Southern Elephant Seal,0.26304114629074,Mirounga leonina,Southern Elephant Seal,Metazoa,Chordata,Mammalia,Carnivora,Phocidae,Mirounga
American badger,0.263438657809514,Taxidea taxus,American badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea
Northern Fur Seal,0.264471862793728,Callorhinus ursinus,Northern Fur Seal,Metazoa,Chordata,Mammalia,Carnivora,Otariidae,Callorhinus
Fukomys damarensis,0.264928876396512,Fukomys damarensis,Damaraland mole-rat,Metazoa,Chordata,Mammalia,Rodentia,Bathyergidae,Fukomys
Yellow-spotted rock hyrax,0.265758154836935,Heterohyrax brucei,Yellow-spotted rock hyrax,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Heterohyrax
Pacific walrus,0.267395359307542,Odobenus rosmarus divergens,Pacific walrus,Metazoa,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus
Chinese river dolphin,0.269449497250236,Lipotes vexillifer,Chinese river dolphin,Metazoa,Chordata,Mammalia,Artiodactyla,Lipotidae,Lipotes
Western spotted skunk,0.269749860378476,Spilogale gracilis,Western spotted skunk,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale
Polar Bear,0.271555963050447,Ursus maritimus,Polar Bear,Metazoa,Chordata,Mammalia,Carnivora,Ursidae,Ursus
globicéphale noir de l'Atlantique,0.271748701398919,Globicephala melas,globicéphale noir de l'Atlantique,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Globicephala
Pacific White-sided Dolphin,0.271748701398919,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus
Killer Whale,0.271748701398919,Orcinus orca,Killer Whale,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Orcinus
Bottlenose Dolphin,0.271748701398919,Tursiops truncatus,Bottlenose Dolphin,Metazoa,Chordata,Mammalia,Artiodactyla,Delphinidae,Tursiops
greenish naked-backed fruit bat,0.272530726124245,Dobsonia viridis,greenish naked-backed fruit bat,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Dobsonia
African savannah elephant,0.274151194671915,Loxodonta africana,African savannah elephant,Metazoa,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta
Antarctic minke whale,0.276261736355251,Balaenoptera bonaerensis,Antarctic minke whale,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
North Pacific minke whale,0.276261736355251,Balaenoptera acutorostrata scammoni,North Pacific minke whale,Metazoa,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera
Lesser dawn bat,0.276439396938861,Eonycteris spelaea,Lesser dawn bat,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eonycteris
southern blossom bat,0.277846252214605,Syconycteris australis,southern blossom bat,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Syconycteris
Lyle's flying fox,0.279333702995893,Pteropus lylei,Lyle's flying fox,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus
Egyptian rousette,0.281425090760242,Rousettus aegyptiacus,Egyptian rousette,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus
Leschenault's Rousette,0.281425090760242,Rousettus leschenaultii,Leschenault's Rousette,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus
Leschenault's Rousette,0.281425090760242,Rousettus leschenaultii,Leschenault's Rousette,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus
greater horseshoe bat,0.281425090760242,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus
